酷碼 VGA Holder 顯卡用支架 千斤頂顯卡支撐架/(0005-KUH00),489
歡慶台南旗艦新店 酷碼 VGA Holder 千斤頂顯卡支撐架(0005-KUH00) 任顯卡搭購價只要199,199
喬思伯 VC-1 鋁合金顯卡支撐架/黑【售完為止】,590
喬思伯 VC-1 鋁合金顯卡支撐架/紅【售完為止】,590
NVIDIA GEFORCE RTX NVLINK BRIDGE 3-SLOT(間隔 60mm/RTX 2080 2080Ti 專用),2790
NVIDIA GEFORCE RTX NVLINK BRIDGE 4-SLOT(間隔 80mm/RTX 2080 2080Ti 專用),2790
華碩 ROG-NVLINK 3 SLOT橋接器(間隔 60mm/RTX 2080 2080Ti 專用/AURA呼吸燈),2990
華碩 ROG-NVLINK 4 SLOT橋接器(間隔 80mm/RTX 2080 2080Ti 專用/AURA呼吸燈),2990
微星 GRAPHICS CARD BOLSTER 氣壓式顯卡千斤頂(3組水平支架)-彩盒,790
微星 2WAY SLI HB BRIDGE L (80mm 4 Slots 間隔/10系列專用/龍魂LED燈效),1200
微星 NVLink GPU Bridge (60mm 3 Slots 間隔/RTX 2080系列專用/LED燈效),2500
技嘉 AORUS SLI HB bridge RGB(80mm 2 slot spacing/10系列專用/RGB炫彩),790
技嘉 AORUS NVLINK BRIDGE 3-slot(間隔 60mm/RTX 2080 2080Ti 專用/RGB炫彩),2890
技嘉 AORUS NVLINK BRIDGE 4-slot(間隔 80mm/RTX 2080 2080Ti 專用/RGB炫彩),2990
ZOTAC GAMING NVLink Bridge (3-Slot)(RTX 2080 2080Ti 專用/RGB),2690
RAZER CORE X 外接顯示卡轉接盒/Thunderbolt 3*1/ATX 650W),8990
Razer Core X Chroma 外接式顯示盒/Thunderbolt 3*1/USB *4/Gigabit Lan*1/ATX 700W,13490
華碩 XG-STATION-PRO外接式顯示盒 (T3介面/太空灰全鋁製機身/MacOS認證/330W),12990
【活動】華碩 XG-STATION-PRO外接盒+華碩 STRIX-RX590-8G-GAMING *現省 $2290,19990
技嘉 AORUS RTX2070 Gaming Box(含RTX2070/Thunderbolt 3介面/U3/註五年)不支援Mac,19990
微星 N210-MD1G/D3(589MHz/1G DDR3/風扇版/14.5cm/三年保),1190
INNO3D 210 1GB DDR3(520MHz/靜音版/16cm/三年保+365天換新),890
華碩 GT 710-1-SL(954MHz/1G DDR3/靜音版/13.5cm/註四年),1290
華碩 GT 710-SL-1GD5(954MHz/1G DDR5/靜音版/16.7cm/註四年),1490
華碩 GT 710-SL-2GD5(954MHz/2G DDR5/靜音版/16.7cm/註四年),1690
微星 GT710 1GD3H LP(954MHz/1G DDR3/靜音版/14.6cm/三年保),1290
微星 GT710 2GD3 LP(954MHz/2G DDR3/風扇版/14.6cm/三年保),1590
技嘉 N710D3-2GL(954MHz/2G DDR3/14.4cm/三年保),1390
技嘉 N710D5-1GL(954MHz/2G GDDR5/15.1cm/三年保),1390
技嘉 N710D5-2GL(954MHz/2G GDDR5/15.1cm/三年保),1590
EVGA GT710 1GB D3(954MHz/1G DDR3/風扇版/11.5cm/2711/五年保),1390
INNO3D GT710 1GB DDR3(954MHz/靜音版/14cm/三年保+365天換新),990
INNO3D GT710 2GB DDR3(954MHz/靜音版/14cm/三年保+365天換新),1290
ZOTAC GT710-1GD3-L(71301-20L)(954MHz/1G DDR3/靜音版/14.6cm/註四年),1190
ZOTAC GT710 2GD3-L(71302-20L)(954MHz/2G DDR3/靜音版/14.6cm/註四年),1390
微星 N730-2GD3V3(700MHz/2G DDR3 128Bit/14.5cm/三年保)雪精靈系列,2190
技嘉 N730D3-2GI (902MHz/2G DDR3/16.7cm/三年保),2250
EVGA GT730 2GB DDR3 LP(G4552)(902MHz/靜音版/11.5cm/1733/五年保),2190
INNO3D GT730 2GB SDDR3(902MHz/靜音版/14cm/三年保+365天換新),1990
華碩 GT1030-SL-2G-BRK(1468MHz/GDDR5/17.3cm/註四年),2890
華碩 PH-GT1030-O2G(1506MHz/GDDR5/18.4cm/註四年),2990
微星 GT1030 2GH LP OC (DDR5)(1518MHz/DDR5/15.3cm/三年保)靜音版,2890
微星 GT1030 2G LP OC (DDR5)(1518MHz/DDR5/15.9cm/三年保),2890
微星 GT1030 AERO 2G OC (DDR5)(1518MHz/DDR5/14.7cm/三年保),2990
技嘉 GT1030 Low Profile 2G(N1030D5-2GL)(1468MHz/GDDR5/15cm/註四年),2790
技嘉 GT1030 OC 2G(N1030OC-2GI)(1544MHz/GDDR5/16.7cm/註四年),2990
ZOTAC GT1030-2G(P10300C-10M)(1468MHz/GDDR5/16.9cm/註四年)類比輸出,2790
ZOTAC GT1030 2G Low Profile(P10300E-10L)(1468MHz/GDDR5/17.3cm/註四年)類比輸出,2790
微星 GTX1050 2GT OCV1飆風(1518MHz/雙/21.5cm/註四年),3990
技嘉 GTX1050 OC 2G(N1050OC-2GD)(1493MHz/雙風/17.2cm/註四年),3990
EVGA GTX1050 2GB GAMING(1455MHz/單風/14.5cm/6150/五年保),3990
ZOTAC GTX1050 Mini 2G(P10500A-10L)(1455MHz/單風扇/14.5cm)店內驚喜價！,3890
ZOTAC GTX1050 OC 2G(P10500C-10L)(1569MHz/雙風扇/17.4cm/註四年),4250
微星 GTX1050 AERO 3G OC(1582MHz/單風/17cm/註四年),3990
微星 GTX1050 3GT OC飆風(1582MHz/雙/21.5cm/註四年),4790
EVGA GTX1050 3GB SC GAMING(1455MHz/單風/14.5cm/6153/五年保.一年換新),4590
INNO3D GTX1050 3GB GDDR5 Compact(1455MHz/14.5cm/三年保+365天換新),3490
華碩 PH-GTX1050TI-4G鳳凰版(1392MHz/19.2cm/註四年),4490
微星 GTX1050Ti AERO 4G OC(1455MHz/單/15.5cm/註四年),4390
微星 GTX1050Ti 4GT OCV1飆風版(1455MHz/雙/21.5cm/註四年),5190
微星 GTX1050Ti Gaming X 4G(1468MHz/雙/22.9cm/註四年),5790
技嘉 GTX1050Ti D5 4G(1392MHz/單/17.2cm/註四年),4490
EVGA GTX1050Ti 4GB GAMING(1392MHz/14.5cm/6251/五年保),4490
EVGA GTX1050Ti 4GB SSC GAMING(1480MHz/22.9cm/6255/五年保)限網路下單,5990
INNO3D GTX1050Ti 4GB GDDR5 Compact-單風扇(1392MHz/14.5cm/三年保+365天換新),3990
INNO3D GTX1050Ti 4GB GDDR5 Twin X2-雙風扇(1392MHz/19.5cm/三年保+365天換新),4490
ZOTAC GTX1050Ti Mini 4G(P10510A-10L)(1417MHz/單風/14.5cm/註四年)堆料王不含糊,3990
ZOTAC GTX1050Ti OC 4G(P10510B-10L)(1506MHz/雙風/17.4cm/註四年),5290
華碩 DUAL-GTX1060-O3G雪原豹(1785MHz/24.2cm/註四年)再到貨！,4690
微星 GTX1060 AERO 3G OC(1759MHz/單風+管/17.5cm/註四年),4990
INNO3D GTX1060 3GB GDDR5 Twin X2雙風(1708MHz/22cm/三年保+365天換新),4490
ZOTAC GTX1060 Mini 3G(P10610A-10L)(1708MHz/單風扇/17.4cm),4790
ZOTAC GTX1060 AMP Core Edition 3G(P10610H-10M)(1797MHz/21.4Ccm/註五年),6690
ZOTAC GTX1060 6G GDDR5X(P10620A-10M)(1708MHz/21.1Ccm/註四年) 堆料王出手!,4990
技嘉 AORUS GTX1080Ti Waterforce WB X.E.11G水冷(1721MHz/26.7cm/註五年),29900
華碩 PH-GTX1650-O4G(1680MHz/19cm/註四年/單風扇),5590
華碩 DUAL-GTX1650-O4G(1725MHz/20.4cm/註四年/雙風扇),5890
華碩 ROG-STRIX-GTX1650-O4G-GAMING(1830MHz/24.2cm/註五年),6290
微星 GTX1650 AERO 4G OC(1740MHz/17cm/註四年/單風扇),5490
微星 GTX1650 VENTUS XS 4G OC(1740MHz/17.7cm/註四年/雙風扇),5550
微星 GTX1650 GAMING X 4G(1860MHz/25.9cm/註四年/雙風扇),5990
技嘉 GTX1650 Mini ITX OC 4G(1680MHz/17cm/註四年/單風扇),5590
技嘉 GTX1650 OC 4G(1710MHz/19.1cm/註四年/雙風扇),5690
技嘉 GTX1650 WINDWFORCE OC 4G(1785MHz/22.9cm/註四年),5890
技嘉 GTX1650 GAMING OC 4G(1815MHz/26.5cm/註五年/雙風扇),6290
EVGA GTX1650 XC Black GAMING 4G(1665MHz/19cm/1151/五年保/單風扇),5190
EVGA GTX1650 SC ULTRA GAMING 4G(1860MHz/20.2cm/1057/五年保),5590
INNO3D GTX1650 4GB Compact(1665MHz/16cm/三年保+365天換新),4990
ZOTAC GTX1650 OC 4G(T16500F-10L)(1695MHz/15.1cm/註四年/單風扇),5490
ZOTAC GTX1650 Low Profile 4G(T16500H-10L)(1665MHz/16cm/註四年/雙風扇),5490
ZOTAC GTX1650 AMP 4G(T16500D-10L)(1725MHz/16.2cm/註五年/雙風扇),5890
華碩 PH-GTX1660-O6G(1800MHz/17.4cm/註四年/單風扇),6990
華碩 TUF-GTX1660-O6G(1815MHz/20.5cm/註四年/雙風扇),6990
華碩 DUAL-GTX1660-O6G-EVO(1845MHz/24.2cm/註四年/雙風扇),7990
微星 GTX1660 AERO 6G OC(1830MHz/17.8cm/註四年/單風扇),6990
微星 GTX1660 VENTUS XS 6G OC(1830MHz/20.4cm/註四年/雙風扇),6990
微星 GTX1660 ARMOR 6G OC(1845MHz/24.3cm/註四年/雙風扇)送Mosuepad XL 鼠墊！,7890
微星 GTX1660 GAMING X 6G(1860MHz/24.7cm/註四年/雙風扇)送Mosuepad XL 鼠墊！,8490
技嘉 GTX1660 Mini ITX OC 6G(1800MHz/17cm/註四年/單風扇),6890
技嘉 GTX1660 OC 6G(1830MHz/22.4cm/註四年/雙風扇),7890
技嘉 GTX1660 GAMING OC 6G(1860MHz/28cm/註五年/三風扇),8490
EVGA GTX1660 XC Black GAMING 6G(1785MHz/19cm/1161/五年保/單風扇),6990
EVGA GTX1660 SC ULTRA GAMING 6G(1830MHz/20.2cm/1067/五年保),7490
EVGA GTX1660 XC ULTRA GAMING 6G(1845MHz/26.8cm/1167/五年保),7790
INNO3D GTX1660 6GB TWIN X2(1785MHz/19.6cm/三年保+365天換新/雙風扇),6990
ZOTAC GTX1660 Twin Fan 6G(T16600F-10L)(1785MHz/17.3cm/註四年/雙風扇),6990
ZOTAC GTX1660 AMP Edition 6G(T16600D-10M)(1845MHz/21cm/註五年),7990
華碩 PH-GTX1660Ti-O6G(1815MHz/17.4cm/註四年),8990
華碩 DUAL-GTX1660Ti-O6G(1830MHz/21.5cm/註四年),10290
華碩 TUF-GTX1660Ti-O6G(1815MHz/20.5cm/註四年),9590
華碩 ROG-STRIX-GTX1660Ti-A6G-GAMING(1830MHz/30.1cm/註五年),9990
華碩 ROG-STRIX-GTX1660Ti-O6G-GAMING(1890MHz/30.1cm/註五年),11390
微星 GTX1660Ti AERO 6G OC(1830MHz/17.8cm/註四年),8790
微星 GTX1660Ti VENTUS XS 6G OC(1830MHz/20.4cm/註四年),9400
微星 GTX1660Ti ARMOR 6G OC(1860MHz/24.3cm/註四年)送微星 DS B1電競滑鼠！,9590
微星 GTX1660Ti GAMING X 6G(1875MHz/24.7cm/註四年)送微星 DS B1電競滑鼠！,10890
技嘉 GTX1660Ti Mini ITX OC 6G(1785MHz/17cm/註四年),9390
技嘉 GTX1660Ti OC 6G(1800MHz/22.6cm/註四年),9890
技嘉 GTX1660Ti WINDFORCE OC 6G(1845MHz/26.5cm/註四年),10390
技嘉 GTX1660Ti GAMING OC 6G(1860MHz/28cm/註五年),10890
技嘉 AORUS GTX1660Ti 6G(1890MHz/28cm/註五年),11690
EVGA GTX1660Ti XC Black GAMING 6G(1770MHz/19cm/1261/五年保),8990
EVGA GTX1660Ti XC GAMING 6G(1845MHz/19cm/1263/五年保),9450
INNO3D GTX1660Ti 6GB TWIN X2(1770MHz/19.6cm/三年保+365天換新),8990
ZOTAC GTX1660Ti Twin Fan 6G(T16610F-10L)(1770MHz/17.3cm/註四年/雙風扇),8990
ZOTAC GTX1660Ti AMP Edition 6G(T16610D-10M)(1860MHz/21cm/註五年),9690
華碩 PH-RTX2060-6G(1710MHz/17.7cm/註四年),9990
華碩 TURBO-RTX2060-6G(1710MHz/26.8cm/註四年)鼓風扇,12890
華碩 DUAL-RTX2060-A6G (1725MHz/27cm/註四年),10990
華碩 TUF-RTX2060-O6G(1710MHz/20.4cm/註四年) 線上估價啟動過低保護機制.. 需內洽,12890
華碩 DUAL-RTX2060-O6G (1785MHz/27cm/註四年),11490
華碩 DUAL-RTX2060-O6G-EVO(1785MHz/24.2cm/註四年),11990
華碩 ROG-STRIX-RTX2060-A6G-GAMING(1740MHz/30cm/註五年),12490
華碩 ROG-STRIX-RTX2060-O6G-GAMING(1860MHz/30cm/註五年),12990
微星 RTX2060 AERO 6G OC(1710MHz/17.5cm/註四年),9990
微星 RTX2060 VENTUS XS 6G OC(1710MHz/21.6cm/註四年),10990
微星 RTX2060 VENTUS 6G OC(1710MHz/22.6cm/註四年),11990
微星 RTX2060 GAMING Z 6G(1830MHz/24.7cm/註四年),12990
技嘉 RTX2060 Mini ITX OC 6G(1695MHz/17cm/註四年),11890
技嘉 RTX2060 OC 6G(1755MHz/22.6cm/註四年),12790
技嘉 RTX2060 WINDFORCE OC 6G(1770MHz/26.5cm/註四年),13290
技嘉 RTX2060 GAMING OC PRO WHITE 6G【獨家白色】(1830MHz/28cm/註五年),13790
技嘉 RTX2060 GAMING OC PRO 6G(1830MHz/28cm/4根熱導管/註五年),13790
技嘉 AORUS RTX2060 XTREME 6G(1845MHz/29cm/註五年),12690
EVGA RTX2060 XC GAMING 6G(1755MHz/19cm/2063/五年保),12300
EVGA RTX2060 SC ULTRA GAMING 6G(1755MHz/26.8cm/2067/五年保),12300
EVGA RTX2060 XC ULTRA GAMING 6G (1830MHz/26.8cm/2167/五年保)限網單,13300
INNO3D RTX2060 6GB TWIN X2(1680MHz/19.6cm/三年保+365天換新)雙風扇,10990
ZOTAC RTX2060 Twin Fan 6G(T20600F)(1680MHz/21cm/註四年)送限量顯卡支撐架！,11990
ZOTAC RTX2060 AMP 6G(T20600D)(1800MHz/21cm/註五年)送限量顯卡支撐架！,12990
ZOTAC RTX2060 AMP Extreme 6G(T20600B)(1830MHz/30.8cm/註五年)送限量顯卡支撐架！,13990
